Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 14:39:02,0,32.0C,14.3%,7.1%,0.3Hz,
12/12/2019 14:39:12,1,32.0C,14.3%,7.1%,0.3Hz,
12/12/2019 14:39:22,2,31.937C,15.2%,7.6%,0.3Hz,
12/12/2019 14:39:32,3,31.937C,15.2%,7.6%,0.3Hz,
12/12/2019 14:39:42,4,31.875C,16.1%,8.0%,0.3Hz,
12/12/2019 14:39:52,5,31.875C,16.1%,8.0%,0.3Hz,
12/12/2019 14:40:02,6,31.812C,17.0%,8.5%,0.3Hz,
12/12/2019 14:40:12,7,31.75C,17.9%,8.9%,0.3Hz,
12/12/2019 14:40:22,8,31.75C,17.9%,8.9%,0.3Hz,
12/12/2019 14:40:32,9,31.687C,18.8%,9.4%,0.3Hz,
12/12/2019 14:40:42,10,31.687C,18.8%,9.4%,0.3Hz,
12/12/2019 14:40:52,11,31.687C,18.8%,9.4%,0.3Hz,
12/12/2019 14:41:02,12,31.625C,19.6%,9.8%,0.3Hz,
12/12/2019 14:41:12,13,31.625C,19.6%,9.8%,0.3Hz,
12/12/2019 14:41:22,14,31.625C,19.6%,9.8%,0.3Hz,
12/12/2019 14:41:32,15,31.562C,20.5%,10.3%,0.3Hz,
12/12/2019 14:41:42,16,31.562C,20.5%,10.3%,0.3Hz,
12/12/2019 14:41:52,17,31.562C,20.5%,10.3%,0.3Hz,
12/12/2019 14:42:02,18,31.5C,21.4%,10.7%,0.3Hz,
12/12/2019 14:42:12,19,31.5C,21.4%,10.7%,0.3Hz,
12/12/2019 14:42:22,20,31.5C,21.4%,10.7%,0.3Hz,
12/12/2019 14:42:32,21,31.437C,22.3%,11.2%,0.3Hz,
12/12/2019 14:42:42,22,31.5C,21.4%,10.7%,0.3Hz,
12/12/2019 14:42:52,23,31.5C,21.4%,10.7%,0.3Hz,
12/12/2019 14:43:02,24,31.437C,22.3%,11.2%,0.3Hz,
12/12/2019 14:43:12,25,31.437C,22.3%,11.2%,0.3Hz,
12/12/2019 14:43:22,26,31.375C,23.2%,11.6%,0.3Hz,
12/12/2019 14:43:32,27,31.375C,23.2%,11.6%,0.3Hz,
12/12/2019 14:43:42,28,31.375C,23.2%,11.6%,0.3Hz,
12/12/2019 14:43:52,29,31.375C,23.2%,11.6%,0.3Hz,
12/12/2019 14:44:02,30,31.375C,23.2%,11.6%,0.3Hz,
12/12/2019 14:44:12,31,31.375C,23.2%,11.6%,0.3Hz,
12/12/2019 14:44:22,32,31.375C,23.2%,11.6%,0.3Hz,
12/12/2019 14:44:32,33,31.437C,22.3%,11.2%,0.3Hz,
12/12/2019 14:44:42,34,31.437C,22.3%,11.2%,0.3Hz,
12/12/2019 14:44:52,35,31.437C,22.3%,11.2%,0.3Hz,
12/12/2019 14:45:02,36,31.5C,21.4%,10.7%,0.3Hz,
12/12/2019 14:45:12,37,31.5C,21.4%,10.7%,0.3Hz,
12/12/2019 14:45:22,38,31.562C,20.5%,10.3%,0.3Hz,
12/12/2019 14:45:32,39,31.562C,20.5%,10.3%,0.3Hz,
12/12/2019 14:45:42,40,31.625C,19.6%,9.8%,0.3Hz,
12/12/2019 14:45:52,41,31.687C,18.8%,9.4%,0.3Hz,
12/12/2019 14:46:02,42,31.687C,18.8%,9.4%,0.3Hz,
12/12/2019 14:46:12,43,31.687C,18.8%,9.4%,0.3Hz,
12/12/2019 14:46:22,44,31.75C,17.9%,8.9%,0.3Hz,
12/12/2019 14:46:32,45,31.75C,17.9%,8.9%,0.3Hz,
12/12/2019 14:46:42,46,31.75C,17.9%,8.9%,0.3Hz,
12/12/2019 14:46:52,47,31.75C,17.9%,8.9%,0.3Hz,
12/12/2019 14:47:02,48,31.812C,17.0%,8.5%,0.3Hz,
12/12/2019 14:47:12,49,31.875C,16.1%,8.0%,0.3Hz,
12/12/2019 14:47:22,50,31.875C,16.1%,8.0%,0.3Hz,
12/12/2019 14:47:32,51,31.937C,15.2%,7.6%,0.3Hz,
12/12/2019 14:47:42,52,32.0C,14.3%,7.1%,0.3Hz,
12/12/2019 14:47:52,53,32.0C,14.3%,7.1%,0.3Hz,
12/12/2019 14:48:02,54,32.062C,13.4%,6.7%,0.3Hz,
12/12/2019 14:48:12,55,32.062C,13.4%,6.7%,0.3Hz,
12/12/2019 14:48:22,56,32.125C,12.5%,6.2%,0.3Hz,
12/12/2019 14:48:32,57,32.125C,12.5%,6.2%,0.3Hz,
12/12/2019 14:48:42,58,32.187C,11.6%,5.8%,0.3Hz,
12/12/2019 14:48:52,59,32.25C,10.7%,5.4%,0.3Hz,
