Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,SDLC,
12/12/2019 15:29:53,0,67.937C,84.4%,79.1%,0,1,
12/12/2019 15:30:03,1,67.687C,88.6%,82.0%,0,1,
12/12/2019 15:30:13,2,67.5C,91.7%,84.2%,0,1,
12/12/2019 15:30:23,3,67.375C,93.8%,85.6%,0,1,
12/12/2019 15:30:33,4,67.375C,93.8%,85.6%,0,1,
12/12/2019 15:30:43,5,67.25C,95.8%,87.1%,0,1,
12/12/2019 15:30:53,6,67.187C,96.9%,87.8%,0,1,
12/12/2019 15:31:03,7,67.125C,97.9%,88.5%,0,1,
12/12/2019 15:31:13,8,67.062C,99.0%,89.3%,0,1,
12/12/2019 15:31:23,9,67.125C,97.9%,88.5%,0,1,
12/12/2019 15:31:33,10,67.125C,97.9%,88.5%,0,1,
12/12/2019 15:31:43,11,67.187C,96.9%,87.8%,0,1,
12/12/2019 15:31:53,12,67.125C,97.9%,88.5%,0,1,
12/12/2019 15:32:03,13,67.187C,96.9%,87.8%,0,1,
12/12/2019 15:32:13,14,67.25C,95.8%,87.1%,0,1,
12/12/2019 15:32:23,15,67.312C,94.8%,86.4%,0,1,
12/12/2019 15:32:33,16,67.25C,95.8%,87.1%,0,1,
12/12/2019 15:32:43,17,67.437C,92.7%,84.9%,0,1,
12/12/2019 15:32:53,18,67.562C,90.6%,83.4%,0,1,
12/12/2019 15:33:03,19,67.625C,89.6%,82.7%,0,1,
12/12/2019 15:33:13,20,67.75C,87.5%,81.2%,0,1,
12/12/2019 15:33:23,21,67.937C,84.4%,79.1%,0,1,
12/12/2019 15:33:33,22,68.125C,81.2%,76.9%,0,1,
12/12/2019 15:33:43,23,68.312C,78.1%,74.7%,0,1,
12/12/2019 15:33:53,24,68.437C,76.1%,73.2%,0,1,
12/12/2019 15:34:03,25,68.812C,69.8%,68.9%,0,1,
12/12/2019 15:34:13,26,69.125C,64.6%,65.2%,0,1,
12/12/2019 15:34:23,27,69.375C,60.4%,62.3%,0,1,
12/12/2019 15:34:33,28,69.625C,56.2%,59.4%,0,1,
12/12/2019 15:34:43,29,69.75C,54.2%,57.9%,0,1,
12/12/2019 15:34:53,30,70.125C,47.9%,53.5%,0,1,
12/12/2019 15:35:03,31,70.437C,42.7%,49.9%,0,1,
12/12/2019 15:35:13,32,70.687C,38.6%,47.0%,0,1,
12/12/2019 15:35:23,33,70.937C,34.4%,44.1%,0,1,
12/12/2019 15:35:33,34,71.125C,31.2%,41.9%,0,1,
12/12/2019 15:35:43,35,71.312C,28.1%,39.7%,0,1,
12/12/2019 15:35:53,36,71.5C,25.0%,37.5%,0,1,
12/12/2019 15:36:03,37,71.687C,21.9%,35.3%,0,1,
12/12/2019 15:36:13,38,71.812C,19.8%,33.9%,0,1,
12/12/2019 15:36:23,39,71.812C,19.8%,33.9%,0,1,
12/12/2019 15:36:33,40,72.0C,16.7%,31.7%,0,1,
12/12/2019 15:36:43,41,72.187C,13.6%,29.5%,0,1,
12/12/2019 15:36:53,42,72.25C,12.5%,28.8%,0,1,
12/12/2019 15:37:03,43,72.375C,10.4%,27.3%,0,1,
12/12/2019 15:37:13,44,72.437C,9.4%,26.6%,0,1,
12/12/2019 15:37:23,45,72.5C,8.3%,25.8%,0,1,
12/12/2019 15:37:33,46,72.5C,8.3%,25.8%,0,1,
12/12/2019 15:37:43,47,72.562C,7.3%,25.1%,0,1,
12/12/2019 15:37:53,48,72.5C,8.3%,25.8%,0,1,
12/12/2019 15:38:03,49,72.312C,11.5%,28.0%,0,1,
12/12/2019 15:38:13,50,72.187C,13.6%,29.5%,0,1,
12/12/2019 15:38:23,51,71.937C,17.7%,32.4%,0,1,
12/12/2019 15:38:33,52,71.75C,20.8%,34.6%,0,1,
12/12/2019 15:38:43,53,71.562C,24.0%,36.8%,0,1,
12/12/2019 15:38:53,54,71.562C,24.0%,36.8%,0,1,
12/12/2019 15:39:03,55,71.562C,24.0%,36.8%,0,1,
12/12/2019 15:39:13,56,71.5C,25.0%,37.5%,0,1,
12/12/2019 15:39:23,57,71.437C,26.1%,38.2%,0,1,
12/12/2019 15:39:33,58,71.562C,24.0%,36.8%,0,1,
12/12/2019 15:39:43,59,71.625C,22.9%,36.0%,0,1,
12/12/2019 15:39:53,60,71.625C,22.9%,36.0%,0,1,
12/12/2019 15:40:03,61,71.625C,22.9%,36.0%,0,1,
12/12/2019 15:40:13,62,71.625C,22.9%,36.0%,0,1,
12/12/2019 15:40:23,63,71.562C,24.0%,36.8%,0,1,
12/12/2019 15:40:33,64,71.75C,20.8%,34.6%,0,1,
12/12/2019 15:40:43,65,71.75C,20.8%,34.6%,0,1,
12/12/2019 15:40:53,66,71.75C,20.8%,34.6%,0,1,
12/12/2019 15:41:03,67,71.687C,21.9%,35.3%,0,1,
12/12/2019 15:41:13,68,71.687C,21.9%,35.3%,0,1,
12/12/2019 15:41:23,69,71.687C,21.9%,35.3%,0,1,
12/12/2019 15:41:33,70,71.75C,20.8%,34.6%,0,1,
12/12/2019 15:41:43,71,71.812C,19.8%,33.9%,0,1,
12/12/2019 15:41:53,72,71.875C,18.8%,33.1%,0,1,
12/12/2019 15:42:03,73,71.812C,19.8%,33.9%,0,1,
12/12/2019 15:42:13,74,71.812C,19.8%,33.9%,0,1,
12/12/2019 15:42:23,75,71.75C,20.8%,34.6%,0,1,
12/12/2019 15:42:33,76,71.875C,18.8%,33.1%,0,1,
12/12/2019 15:42:43,77,71.937C,17.7%,32.4%,0,1,
12/12/2019 15:42:53,78,72.0C,16.7%,31.7%,0,1,
12/12/2019 15:43:03,79,72.062C,15.6%,30.9%,0,1,
12/12/2019 15:43:13,80,72.0C,16.7%,31.7%,0,1,
12/12/2019 15:43:23,81,72.187C,13.6%,29.5%,0,1,
12/12/2019 15:43:33,82,72.125C,14.6%,30.2%,0,1,
12/12/2019 15:43:43,83,72.062C,15.6%,30.9%,0,1,
12/12/2019 15:43:53,84,72.125C,14.6%,30.2%,0,1,
12/12/2019 15:44:03,85,72.125C,14.6%,30.2%,0,1,
12/12/2019 15:44:13,86,72.25C,12.5%,28.8%,0,1,
12/12/2019 15:44:23,87,72.187C,13.6%,29.5%,0,1,
12/12/2019 15:44:33,88,72.25C,12.5%,28.8%,0,1,
12/12/2019 15:44:43,89,72.187C,13.6%,29.5%,0,1,
12/12/2019 15:44:53,90,72.312C,11.5%,28.0%,0,1,
12/12/2019 15:45:03,91,72.375C,10.4%,27.3%,0,1,
12/12/2019 15:45:13,92,72.25C,12.5%,28.8%,0,1,
12/12/2019 15:45:23,93,72.312C,11.5%,28.0%,0,1,
12/12/2019 15:45:33,94,72.375C,10.4%,27.3%,0,1,
12/12/2019 15:45:43,95,72.5C,8.3%,25.8%,0,1,
12/12/2019 15:45:53,96,72.437C,9.4%,26.6%,0,1,
12/12/2019 15:46:03,97,72.437C,9.4%,26.6%,0,1,
12/12/2019 15:46:13,98,72.437C,9.4%,26.6%,0,1,
