Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,Change,SDLC,Debug Message,
13/12/2019 11:47:27,0,19.88C,100%,100.0%,0.33Hz,-0.12C,0,Not Yet,
13/12/2019 11:47:37,1,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:15:55,2,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:16:07,3,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:16:18,4,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:16:28,5,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:16:39,6,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:16:50,7,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:17:01,8,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:17:12,9,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:17:23,10,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:17:34,11,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:17:45,12,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:17:56,13,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:18:07,14,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:18:18,15,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:18:29,16,19.88C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:18:40,17,19.94C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:18:51,18,19.88C,100%,100.0%,0.33Hz,-0.06C,0,Not Yet,
15/12/2019 16:19:02,19,19.94C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:19:13,20,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:19:24,21,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:19:35,22,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:19:46,23,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:19:57,24,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:20:08,25,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:20:19,26,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:20:30,27,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:20:41,28,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:20:52,29,19.94C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:21:02,30,20.0C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:21:13,31,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:21:24,32,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:21:35,33,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:21:46,34,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:21:57,35,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:22:08,36,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:22:19,37,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:22:30,38,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:22:41,39,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:22:52,40,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:23:03,41,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:23:14,42,20.0C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:23:25,43,20.06C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:23:36,44,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:23:47,45,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:23:58,46,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:24:09,47,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:24:20,48,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:24:31,49,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:24:42,50,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:24:53,51,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:25:04,52,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:25:15,53,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:25:26,54,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:25:36,55,20.06C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:25:47,56,20.12C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:25:58,57,20.06C,100%,100.0%,0.33Hz,-0.06C,0,Not Yet,
15/12/2019 16:26:09,58,20.12C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:26:20,59,20.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:26:31,60,20.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:26:42,61,20.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:26:53,62,20.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:27:04,63,20.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:27:15,64,20.12C,100%,100.0%,0.33Hz,0.0C,0,Not Yet,
15/12/2019 16:27:26,65,20.19C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:27:37,66,20.25C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:27:48,67,20.44C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
15/12/2019 16:27:59,68,20.56C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
15/12/2019 16:28:10,69,20.75C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
15/12/2019 16:28:21,70,20.94C,100%,100.0%,0.33Hz,0.19C,0,Not Yet,
15/12/2019 16:28:32,71,21.06C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
15/12/2019 16:28:43,72,21.12C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:28:54,73,21.25C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
15/12/2019 16:29:05,74,21.31C,100%,100.0%,0.33Hz,0.06C,0,Not Yet,
15/12/2019 16:29:16,75,21.44C,100%,100.0%,0.33Hz,0.12C,0,Not Yet,
15/12/2019 16:29:27,76,21.69C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
15/12/2019 16:29:38,77,21.94C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
15/12/2019 16:29:49,78,22.25C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:30:00,79,22.5C,100%,100.0%,0.33Hz,0.25C,0,Not Yet,
15/12/2019 16:30:10,80,22.81C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:30:21,81,23.12C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:30:32,82,23.44C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:30:43,83,23.88C,100%,100.0%,0.33Hz,0.44C,0,Not Yet,
15/12/2019 16:30:54,84,24.19C,100%,100.0%,0.33Hz,0.31C,0,Not Yet,
15/12/2019 16:31:05,85,24.69C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
15/12/2019 16:31:16,86,25.19C,100%,100.0%,0.33Hz,0.5C,0,Not Yet,
